author,price,rating,title
Philip Robbins,26.55,4.3 out of 5 stars,Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!
Johannes Ernesti,55.75,4.7 out of 5 stars,Python 3: The Comprehensive Guide to Hands-On Python Programming
Luciano Ramalho,37.59,4.7 out of 5 stars,"Fluent Python: Clear, Concise, and Effective Programming"
Al Sweigart,25.49,4.7 out of 5 stars,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners"
Kindle,57.44,4.5 out of 5 stars,"Learning Python, 5th Edition"
Eric Matthes,31.99,4.8 out of 5 stars,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming"
Kindle,13.23,4.5 out of 5 stars,Python Pocket Reference: Python In Your Pocket (Pocket Reference (O'Reilly))
Alan P. Cochran,25.99,5.0 out of 5 stars,"Python Programming and SQL: 5 books in 1 - from Starter to Smarter. Master Hands-On Coding, Break Career Barriers, and Unlock Expert Techniques with a Step-by-Step Method"
Mike X Cohen,32.01,5.0 out of 5 stars,"Modern Statistics: Intuition, Math, Python, R"
Eryk Lewinson,47.49,4.6 out of 5 stars,"Python for Finance Cookbook: Over 80 powerful recipes for effective financial data analysis, 2nd Edition"
Anthony Castrovince,16.99,4.6 out of 5 stars,"Fan's Guide to Baseball Analytics: Why WAR, WHIP, wOBA, and Other Advanced Sabermetrics Are Essential to Understanding Modern Baseball"
Wayne Winston,41.33,4.5 out of 5 stars,Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills)
Nicholas Kimmel,25.64,4.8 out of 5 stars,The Python Bible for Beginners: A Step-By-Step Guide to Master Coding from Scratch in Less Than 7 Days and Become the Expert that Top Companies Vie to Hire (with Hands-On Exercises and Code Snippets)
Philip Robbins,26.55,4.3 out of 5 stars,Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!
Mark Clifferland,11.99,4.5 out of 5 stars,Python Programming for Beginners: Unlock the Secrets of High-Demand Skills | Learn Python Programming from Zero to Hero with Real-World Exercises & Samples for a Successful Career in the IT Industry
Eric Matthes,26.99,4.8 out of 5 stars,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming"
Kindle,24.49,4.4 out of 5 stars,"The Practical Guide to HR Analytics: Using Data to Inform, Transform, and Empower HR Decisions"
Inc. BarCharts,5.95,4.5 out of 5 stars,Excel Formulas (Quick Study Computer)
Audible Audiobook,14.95,4.5 out of 5 stars,Naked Statistics: Stripping the Dread from the Data
Kindle,44.2,4.2 out of 5 stars,Football Analytics With Python & R: Learning Data Science Through the Lens of Sports
Kindle,11.99,3.7 out of 5 stars,How To Become A Data Scientist With ChatGPT: A Beginner's Guide to ChatGPT-Assisted Programming (Data Science with ChatGPT)
Anil Maheshwari,0,4.3 out of 5 stars,Data Analytics Made Accessible: 2024 edition
Kindle,49.99,4.5 out of 5 stars,Getting Started with Data Science: Making Sense of Data with Analytics (IBM Press)
Scott Bateman,41.99,4.9 out of 5 stars,Geospatial Data Analytics on AWS: Discover how to manage and analyze geospatial data in the cloud
Anthony DeBarros,27.99,4.7 out of 5 stars,"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data"
Kindle,17.02,4.6 out of 5 stars,StoryTelling with Charts - The Full Story: The Ultimate Playbook to Master the Art and Science of Captivating Audiences by Telling Stories With Data and Framework Charts
Megan Torrance,28.99,4.4 out of 5 stars,Data & Analytics for Instructional Designers
Kindle,27.49,4.5 out of 5 stars,Marketing Analytics: Data-Driven Techniques with Microsoft Excel
Ann Jackson,24.29,4.3 out of 5 stars,"Tableau Strategies: Solving Real, Practical Problems with Data Analytics"
Andrea De Mauro,32.99,4.4 out of 5 stars,Data Analytics Made Easy: Analyze and present data to make informed decisions without writing any code
Bernard Marr,39.99,5.0 out of 5 stars,"Data-Driven HR: How to Use AI, Analytics and Data to Drive Performance"
Howard Steven Friedman,27.95,4.8 out of 5 stars,Winning with Data Science: A Handbook for Business Leaders
Kindle,8,4.4 out of 5 stars,Healthcare Data Analytics: Primary Methods and Related Insights
Thomas Nield,36.49,4.5 out of 5 stars,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics"
Mike Grigsby,39.49,4.2 out of 5 stars,Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques
Kindle,34.99,4.6 out of 5 stars,"SQL for Data Analytics: Harness the power of SQL to extract insights from data, 3rd Edition"
Nick Singh,35.54,4.6 out of 5 stars,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street"
Bernard Marr,19.04,4.5 out of 5 stars,"Data Strategy: How to Profit from a World of Big Data, Analytics and Artificial Intelligence"
Kindle,35.2,4.6 out of 5 stars,AWS Certified Data Analytics Study Guide: Specialty (DAS-C01) Exam
Foster Provost,42.49,4.5 out of 5 stars,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking
David Clinton,8.95,3.7 out of 5 stars,"Teach Yourself Data Analytics in 30 Days: Learn to use Python and Jupyter Notebooks by exploring fun, real-world data projects"
Simon Asplen-Taylor,29.6,4.7 out of 5 stars,Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy
Bradford Tuckfield,27.3,4.7 out of 5 stars,Dive Into Data Science: Use Python To Tackle Your Toughest Business Challenges
Harvard Business Review,12.69,4.4 out of 5 stars,HBR Guide to Data Analytics Basics for Managers (HBR Guide Series)
Cathy Tanimura,37.49,4.7 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
Paul McFedries,24.49,4.2 out of 5 stars,Excel Data Analysis For Dummies (For Dummies (Computer/Tech))
Kindle,25.19,4.6 out of 5 stars,"SQL QuickStart Guide: The Simplified Beginner's Guide to Managing, Analyzing, and Manipulating Data With SQL (QuickStart Guides™ - Technology)"
Alex Holloway,14.99,4.5 out of 5 stars,"Data Analysis in Microsoft Excel: Deliver Awesome Analytics in 3 Easy Steps Using VLOOKUPS, Pivot Tables, Charts And More"
Russell Dawson,14.99,4.9 out of 5 stars,"Fundamentals of Data Analytics: Learn Essential Skills, Embrace the Future, and Catapult Your Career in the Data-Driven World—A Comprehensive Guide to Data Literacy for Beginners"
Bob Pellerin,16.99,4.4 out of 5 stars,AI Business Strategies: Leveraging Artificial Intelligence as a Competitive Advantage
